id,content_id,type,likes,engagement_date,campaign_id,product_id,views,clicks
4050,22,Social Media,1,2025-08-24,16,9,1075,59
2815,25,Social Media,0,2025-08-05,5,17,1076,14
4106,29,Blog,48,2024-06-03,3,17,1076,194
4417,7,Social Media,8,2024-11-07,18,9,1077,112
2105,12,Video,0,2025-08-03,10,20,1077,27
1035,11,Video,19,2024-11-03,5,9,1078,131
1955,3,Video,1,2025-08-11,10,12,1078,51
31,1,Social Media,2,2025-06-10,4,4,1079,44
276,27,Social Media,13,2024-10-10,11,17,1079,73
3544,33,Newsletter,0,2025-01-17,18,14,108,16
3197,2,Newsletter,17,2025-01-16,8,5,1082,156
1577,20,Social Media,1,2025-07-27,5,18,1082,23
3940,37,Newsletter,96,2023-09-19,12,1,1082,323
335,19,Blog,11,2024-12-17,19,10,1084,118
2262,1,Social Media,0,2025-10-04,6,12,108,5
941,30,Social Media,16,2024-10-16,9,5,1085,141
1618,40,Video,0,2025-07-24,14,4,1086,27
2658,19,Blog,69,2023-10-11,3,14,1087,348
524,36,Video,37,2024-07-01,4,14,1089,167
3129,37,Blog,33,2023-03-31,5,17,1090,166
667,44,Blog,1,2025-02-14,10,20,1090,35
3585,41,Blog,0,2025-08-29,19,12,1091,14
769,16,Social Media,57,2024-02-24,19,15,1091,311
325,35,Blog,7,2025-01-27,10,9,1092,56
4503,19,Newsletter,0,2025-09-11,3,18,109,5
2458,40,Blog,4,2025-07-13,15,9,1095,62
2497,8,Newsletter,9,2024-10-29,7,20,1096,159
408,12,Newsletter,33,2024-08-12,4,12,1097,199
1556,10,Social Media,48,2024-01-22,5,8,1098,188
3297,12,Video,20,2024-06-09,16,3,1098,200
757,47,Video,28,2024-02-23,6,3,1101,146
4565,35,Social Media,89,2024-02-11,15,15,1102,313
2121,48,Video,2,2024-09-28,3,18,1103,48
1461,23,Blog,0,2025-08-23,15,12,1104,14
3422,1,Newsletter,34,2023-03-02,6,4,1104,220
2839,4,Blog,0,2025-04-15,12,16,1107,30
803,42,Video,10,2024-09-23,14,7,1107,95
1453,20,Social Media,3,2025-04-07,1,12,1108,57
3761,14,Video,23,2023-07-02,6,7,1109,99
2011,20,Blog,16,2024-10-28,5,16,1110,133
3149,18,Newsletter,67,2023-01-07,15,20,1110,164
3173,11,Newsletter,0,2025-09-20,11,11,111,1
2234,49,Video,3,2025-07-13,8,6,1111,54
4350,8,Social Media,1,2025-06-05,15,15,1111,57
2246,4,Social Media,20,2024-07-28,17,3,1111,98
64,49,Video,0,2025-12-03,1,15,111,3
519,50,Video,39,2023-09-10,18,15,1113,172
2846,11,Newsletter,10,2025-02-08,2,9,1114,143
1641,29,Newsletter,1,2025-08-17,4,18,1114,56
1996,25,Social Media,25,2024-07-29,11,10,1115,178
4154,5,Newsletter,21,2024-08-28,20,15,1116,166
3829,15,Social Media,19,2023-10-15,5,2,1118,150
1534,24,Social Media,51,2023-07-06,10,9,1119,272
619,46,Social Media,5,2025-05-12,16,3,1120,118
3934,13,Social Media,0,2025-12-13,19,1,112,1
2915,4,Video,2,2025-03-27,10,11,1121,70
1824,15,Blog,0,2025-11-05,15,7,112,2
434,32,Blog,0,2025-06-16,17,17,112,3
319,37,Newsletter,17,2024-09-18,10,7,1123,137
1912,43,Video,36,2023-09-05,8,10,1123,137
2211,40,Newsletter,24,2024-10-01,7,10,1123,160
3554,28,Newsletter,11,2023-08-17,1,12,112,32
2747,34,Blog,3,2023-12-02,10,13,112,38
3195,28,Social Media,5,2025-01-05,10,15,1126,111
2517,35,Newsletter,4,2025-05-26,9,18,1127,47
1259,16,Blog,3,2025-02-24,15,8,1129,59
2790,35,Social Media,1,2024-10-10,10,7,113,10
3080,1,Blog,57,2023-06-25,18,2,1131,272
1884,11,Blog,0,2025-09-24,18,15,113,4
4494,3,Blog,1,2025-07-14,6,4,1134,64
2347,1,Video,0,2025-08-19,7,15,1137,32
3220,40,Video,89,2023-04-02,14,17,1139,248
4505,12,Newsletter,1,2025-05-26,20,1,1139,35
3535,6,Blog,0,2025-08-08,12,5,1139,44
1554,37,Newsletter,20,2024-08-20,6,4,1140,246
2007,29,Blog,1,2025-08-21,5,12,1140,38
1088,1,Blog,2,2025-07-14,1,15,1140,53
2579,35,Social Media,0,2024-12-22,12,15,114,10
176,9,Social Media,16,2023-06-28,5,4,1142,121
3307,25,Video,12,2024-12-26,17,20,1143,120
2322,21,Video,2,2025-06-23,13,6,1144,41
482,44,Social Media,76,2023-03-30,7,14,1144,456
47,41,Video,33,2024-06-08,3,12,1145,130
449,25,Social Media,61,2023-10-27,10,16,1147,209
1693,4,Video,12,2024-09-08,6,11,1148,226
1635,12,Video,6,2025-03-03,6,19,1149,74
4380,9,Social Media,32,2023-12-26,16,18,1150,135
1507,36,Blog,26,2024-11-01,1,11,1150,205
2315,13,Social Media,41,2024-02-17,19,18,1150,298
2803,38,Social Media,2,2025-07-11,14,16,1150,43
4064,36,Blog,2,2025-08-08,5,7,1150,66
4528,20,Video,0,2025-10-20,5,11,115,1
3133,21,Newsletter,23,2024-10-29,2,16,1151,214
2339,15,Video,1,2025-08-13,3,19,1151,52
3405,23,Video,2,2024-06-17,17,3,115,20
1180,45,Video,88,2024-04-11,1,19,1152,307
3823,10,Blog,4,2025-07-11,2,15,1152,61
4394,44,Newsletter,14,2025-04-16,15,5,1153,124
2074,47,Newsletter,12,2023-05-04,16,2,115,35
4132,31,Blog,18,2024-05-10,4,11,1153,85
281,34,Social Media,0,2025-04-06,9,18,115,5
2285,26,Newsletter,21,2025-02-21,13,18,1155,156
4306,13,Social Media,16,2025-01-12,16,11,1155,169
1485,25,Video,3,2025-04-11,7,3,1155,68
2753,49,Blog,0,2025-03-14,6,3,115,7
2118,26,Video,23,2024-10-05,13,2,1157,165
223,17,Social Media,2,2025-08-10,3,4,1157,42
4215,22,Blog,10,2025-03-03,3,9,1159,155
4409,50,Video,37,2024-03-01,8,2,1159,155
3150,30,Blog,33,2023-12-09,4,2,1160,136
3140,27,Video,78,2023-12-02,4,4,1160,249
3010,29,Video,0,2025-10-03,13,20,116,2
3205,34,Social Media,119,2023-03-04,7,7,1165,453
604,14,Newsletter,2,2025-06-28,12,12,1166,40
2467,15,Social Media,6,2024-08-16,6,2,1168,130
3064,45,Social Media,15,2023-12-04,17,2,1169,182
3214,49,Social Media,105,2023-04-19,17,4,1169,323
2911,36,Video,2,2025-06-25,18,6,1169,97
2171,32,Newsletter,11,2023-12-03,6,19,1170,135
1155,40,Video,26,2024-11-19,4,13,1170,166
1689,36,Video,10,2024-08-27,2,13,1171,185
3223,48,Video,1,2025-08-12,19,19,1172,25
2816,45,Blog,59,2023-09-30,13,13,1173,212
1002,39,Social Media,128,2023-07-22,4,5,1173,367
474,42,Newsletter,2,2025-05-07,4,8,1173,81
4320,19,Blog,32,2024-03-18,7,1,1175,212
637,33,Blog,48,2023-06-04,1,3,1175,464
4610,14,Newsletter,17,2024-09-20,20,16,1178,162
688,30,Newsletter,74,2023-11-04,13,11,1178,248
3222,45,Blog,16,2024-08-18,14,8,1179,107
3213,27,Social Media,12,2024-01-22,20,3,1179,182
3086,27,Video,7,2025-01-30,7,18,1180,57
4247,17,Blog,2,2024-04-23,7,6,118,16
1147,38,Newsletter,4,2025-07-04,7,3,1182,76
770,26,Video,2,2025-07-09,16,15,1182,79
3264,48,Video,1,2025-07-05,15,8,1182,79
1651,16,Blog,6,2024-12-14,19,2,1186,128
459,43,Social Media,9,2024-12-08,8,2,1186,129
426,23,Video,34,2024-09-15,12,4,1186,225
3622,18,Newsletter,1,2025-05-11,6,13,1186,49
3092,20,Blog,36,2024-04-30,5,2,1187,320
2805,37,Blog,35,2024-08-08,13,5,1188,212
4209,19,Video,161,2023-03-15,3,13,1188,540
2617,7,Newsletter,35,2024-06-29,11,4,1189,254
2880,17,Newsletter,2,2025-07-02,18,15,1189,34
472,29,Newsletter,94,2023-01-25,10,3,1190,285
4362,33,Newsletter,0,2025-07-13,5,2,1192,25
95,35,Newsletter,22,2024-08-15,1,7,1193,209
1830,48,Social Media,45,2024-09-16,4,5,1193,245
4527,35,Social Media,1,2025-05-11,19,3,1193,49
2669,37,Newsletter,1,2025-06-15,16,2,1194,94
865,25,Social Media,44,2024-06-13,17,17,1196,220
1262,3,Video,108,2023-07-18,18,5,1196,292
3215,19,Video,3,2025-07-28,3,7,1198,80
2032,49,Video,7,2024-08-31,8,18,1199,137
4271,16,Video,5,2025-03-20,5,11,1200,43
1328,34,Social Media,1,2025-07-31,12,13,1200,60
3842,4,Social Media,0,2025-09-18,11,4,120,1
2655,18,Newsletter,10,2025-04-17,19,7,1201,108
428,2,Video,0,2025-12-12,12,17,120,3
3236,13,Social Media,27,2023-07-04,14,13,1205,107
4047,14,Newsletter,3,2025-08-13,20,19,1205,53
3950,37,Social Media,2,2025-07-30,8,16,1205,54
2940,7,Video,0,2025-07-05,14,12,120,6
3705,28,Newsletter,11,2025-03-21,20,10,1206,106
3384,39,Social Media,19,2024-10-19,13,19,1208,148
2748,16,Social Media,26,2024-11-29,5,12,1209,156
3793,49,Blog,0,2025-08-03,15,19,1210,33
162,23,Blog,7,2025-03-17,17,14,1211,104
505,24,Social Media,9,2023-12-16,5,19,121,37
2140,45,Newsletter,3,2025-05-23,2,14,1214,88
3584,24,Blog,4,2024-12-07,6,14,1214,88
4566,15,Blog,20,2024-12-24,12,17,1216,129
4155,39,Video,3,2025-05-30,19,1,1217,49
1950,35,Social Media,21,2024-10-04,16,13,1218,181
3065,36,Blog,0,2025-06-16,12,9,1218,22
147,13,Social Media,5,2025-04-19,5,1,1219,74
1032,11,Social Media,30,2024-12-24,4,8,1220,180
2438,19,Social Media,11,2025-03-09,19,8,1220,95
1140,18,Newsletter,9,2025-04-26,11,20,1222,137
2158,12,Social Media,9,2025-02-05,17,20,1222,156
1014,48,Social Media,41,2024-07-23,7,6,1222,213
34,1,Social Media,29,2023-04-18,11,4,1223,127
3257,17,Blog,31,2024-12-16,11,16,1224,196
453,34,Newsletter,2,2025-06-26,15,19,1224,49
1231,48,Blog,0,2025-09-12,11,1,122,5
2350,24,Blog,0,2025-04-16,3,1,1225,30
3668,23,Blog,31,2024-05-03,16,18,1227,157
4207,11,Video,4,2025-04-11,20,3,1227,55
4270,5,Newsletter,4,2025-03-21,6,17,1229,103
4470,13,Newsletter,12,2024-08-27,7,5,1229,169
1267,49,Video,101,2023-05-21,17,16,1229,385
4341,34,Video,6,2024-12-08,17,20,1229,66
3859,50,Video,28,2024-05-09,10,20,1230,295
4400,9,Video,123,2023-07-05,15,8,1230,425
2282,25,Newsletter,46,2024-06-27,13,8,1231,299
1273,49,Newsletter,10,2024-12-08,15,13,1231,99
4422,6,Newsletter,62,2024-02-05,5,11,1232,207
4198,24,Video,1,2025-08-02,1,9,1232,54
2969,13,Social Media,10,2025-03-11,20,9,1234,152
821,31,Blog,2,2025-06-25,4,5,1236,75
152,32,Newsletter,15,2024-07-05,4,4,1237,214
1751,4,Newsletter,58,2023-07-27,8,12,1237,340
4063,45,Video,25,2023-11-16,12,6,1239,104
4121,7,Newsletter,0,2025-12-19,13,11,124,2
2908,6,Social Media,2,2025-06-19,8,19,1243,75
2659,40,Blog,14,2024-10-21,5,11,1244,104
1818,28,Blog,31,2024-05-23,3,2,1246,241
4017,39,Video,1,2024-09-04,6,15,124,8
932,24,Blog,3,2025-07-26,8,5,1248,81
2972,4,Video,137,2023-10-28,16,15,1250,450
4507,23,Blog,31,2024-03-22,11,14,1251,145
3454,48,Newsletter,37,2024-02-01,11,6,1254,203
4460,39,Newsletter,2,2025-06-13,10,16,1255,44
4421,3,Blog,5,2025-06-27,8,20,1257,101
2910,37,Newsletter,14,2025-01-04,9,1,1257,172
1144,15,Blog,45,2024-09-11,9,2,1257,233
3947,37,Blog,8,2025-03-17,20,15,1259,161
4568,8,Video,1,2025-07-31,20,11,1260,40
3762,18,Social Media,2,2025-04-14,15,2,1261,74
1454,5,Social Media,1,2025-07-15,6,19,1261,96
2152,28,Video,143,2023-09-01,12,10,1262,454
1480,7,Blog,11,2024-12-14,17,14,1262,80
1346,3,Newsletter,3,2025-06-29,3,15,1263,74
3593,41,Video,79,2023-11-26,9,19,1264,305
2737,37,Newsletter,0,2025-12-25,8,2,126,5
3835,10,Blog,0,2025-12-12,20,3,126,5
3446,18,Video,3,2025-07-21,11,16,1265,84
998,2,Blog,8,2025-04-16,7,11,1266,116
3862,47,Video,2,2025-04-20,7,7,1266,32
2769,47,Blog,75,2023-05-10,1,16,1266,504
3075,43,Video,8,2025-06-14,3,7,1267,110
1856,25,Blog,2,2025-08-10,17,10,1267,41
3489,14,Video,24,2025-02-09,2,15,1268,174
3568,39,Social Media,44,2023-07-07,14,17,1268,434
2155,2,Video,1,2023-10-17,16,4,127,13
698,43,Social Media,0,2025-06-12,6,6,127,3
3650,37,Social Media,0,2025-10-13,4,5,127,3
4620,46,Newsletter,209,2023-07-17,8,4,1273,516
1124,19,Blog,5,2025-03-30,3,5,1273,93
4190,13,Social Media,0,2025-06-05,11,19,127,4
2863,44,Video,106,2023-11-17,14,19,1274,346
2353,5,Video,0,2025-10-24,5,10,127,5
3784,26,Newsletter,70,2023-11-01,4,18,1275,360
3221,17,Social Media,2,2025-08-10,15,6,1275,74
3481,13,Social Media,22,2024-07-20,6,2,1278,189
610,50,Video,30,2024-06-07,2,14,1278,330
1730,48,Blog,2,2025-04-20,8,15,1278,40
1169,41,Video,0,2025-11-19,18,1,128,1
2391,28,Newsletter,16,2024-11-17,6,13,1281,125
884,12,Newsletter,0,2025-08-10,12,3,1281,47
3242,6,Video,4,2025-07-24,2,12,1281,62
2630,40,Newsletter,1,2024-11-12,9,16,128,20
1740,11,Video,1,2025-05-23,1,13,1282,68
969,49,Social Media,3,2025-05-10,12,4,1283,37
1138,2,Blog,71,2023-01-25,10,5,1286,214
1517,35,Newsletter,20,2024-09-11,19,16,1287,102
3885,9,Video,18,2024-12-13,14,17,1289,154
369,6,Social Media,180,2023-02-20,15,11,1289,449
1835,8,Blog,8,2025-04-10,9,4,1289,78
1091,29,Blog,44,2023-10-22,9,12,1292,198
783,44,Newsletter,10,2023-04-11,14,5,129,30
533,15,Newsletter,33,2023-11-15,18,5,1293,141
682,4,Video,8,2025-01-23,3,14,1294,58
3178,49,Video,2,2025-07-06,3,12,1294,63
2619,7,Newsletter,19,2024-08-23,14,12,1295,123
3330,30,Video,191,2023-05-08,7,1,1295,480
4200,50,Social Media,97,2023-03-03,5,9,1298,238
3414,46,Social Media,29,2024-08-16,1,11,1298,264
2707,15,Social Media,30,2024-06-22,8,20,1299,152
983,14,Blog,17,2024-06-24,9,14,1299,159
591,34,Newsletter,2,2024-11-04,1,3,1299,75
3079,33,Social Media,0,2025-08-09,4,7,13,0
3833,4,Social Media,3,2025-05-10,5,2,1300,38
1921,11,Social Media,4,2024-11-29,8,3,1300,58
1963,6,Newsletter,0,2025-05-31,16,7,130,11
673,35,Video,6,2025-01-26,18,2,1301,125
3367,41,Social Media,84,2023-10-03,15,20,1303,265
4335,37,Blog,0,2025-09-03,20,18,130,5
401,41,Blog,1,2025-07-16,12,17,1305,30
3745,29,Video,21,2024-04-10,18,16,1307,232
2754,15,Video,29,2023-12-19,5,15,1309,101
1025,4,Newsletter,6,2025-07-01,7,12,1309,84
3074,6,Social Media,0,2025-09-08,9,7,131,2
208,31,Blog,2,2024-04-24,15,18,131,32
589,34,Newsletter,33,2024-04-27,8,17,1313,267
4561,30,Blog,1,2025-07-30,2,11,1315,40
3590,39,Video,16,2024-10-13,12,1,1316,201
1887,36,Social Media,49,2024-06-01,16,4,1316,339
4150,23,Newsletter,6,2025-04-26,17,20,1316,91
3200,19,Video,16,2024-11-10,10,18,1318,169
4604,41,Video,0,2025-08-07,12,18,1320,17
4486,16,Video,89,2023-07-06,4,4,1321,447
1525,50,Newsletter,42,2024-04-03,20,9,1323,335
1925,47,Blog,7,2025-01-26,13,15,1324,169
2456,6,Blog,5,2025-04-27,3,12,1326,58
823,8,Social Media,7,2025-01-22,2,14,1326,68
1139,48,Video,27,2024-01-10,19,17,1328,230
2383,2,Video,3,2025-07-15,14,8,1329,54
1489,41,Video,31,2024-12-05,12,5,1330,195
4475,39,Social Media,70,2023-12-17,15,4,1330,447
962,32,Newsletter,16,2024-08-25,19,17,1331,105
4081,44,Social Media,4,2025-05-21,10,5,1331,52
2833,26,Video,0,2025-05-27,12,19,133,5
3834,25,Social Media,11,2025-01-07,14,11,1335,123
4115,46,Social Media,27,2024-11-08,10,8,1336,246
4024,17,Blog,0,2025-08-30,2,16,134,1
1396,6,Video,81,2023-09-11,4,12,1341,245
44,18,Newsletter,3,2025-04-10,9,8,1341,66
2488,19,Newsletter,1,2025-07-14,13,19,1344,89
576,8,Video,19,2024-08-24,2,10,1345,91
4321,2,Video,5,2025-03-30,5,16,1346,43
546,11,Newsletter,4,2025-06-19,7,7,1346,83
3935,4,Social Media,4,2025-02-03,18,12,1346,97
2175,45,Blog,8,2025-01-06,4,8,1348,169
2045,27,Blog,14,2025-03-20,18,16,1350,173
746,24,Newsletter,65,2024-02-16,1,5,1352,350
82,49,Social Media,142,2023-04-26,8,20,1354,425
3326,44,Blog,128,2023-07-26,4,5,1355,518
3599,8,Video,2,2025-06-13,15,17,1356,26
1296,28,Blog,17,2024-12-17,8,15,1359,102
632,1,Newsletter,76,2024-02-23,1,18,1360,256
88,28,Social Media,121,2023-10-01,12,7,1360,440
3435,27,Social Media,87,2023-05-12,17,7,1361,374
1949,40,Newsletter,0,2025-10-16,13,2,136,2
3932,3,Social Media,39,2024-09-02,4,4,1362,247
2200,45,Social Media,6,2025-07-14,7,19,1364,105
2491,35,Video,58,2023-12-20,4,14,1364,306
3701,47,Video,143,2023-10-03,10,8,1365,446
3788,2,Newsletter,5,2025-07-06,7,13,1368,87
3345,40,Newsletter,1,2025-05-25,12,4,1372,54
720,33,Newsletter,4,2025-04-19,11,5,1372,58
3204,29,Video,0,2025-11-19,11,13,137,3
4591,33,Newsletter,39,2023-01-13,18,12,1374,232
964,20,Video,1,2025-06-05,16,6,1377,48
2143,34,Social Media,4,2025-07-08,19,18,1377,68
595,46,Video,4,2024-12-29,1,18,1379,54
3166,47,Blog,19,2023-10-31,11,15,1380,258
2890,13,Blog,13,2024-08-12,2,16,1381,83
2990,17,Social Media,5,2023-07-02,4,14,138,28
2411,30,Newsletter,6,2025-03-30,14,20,1383,157
3560,23,Blog,17,2025-03-04,12,15,1390,143
1106,22,Video,1,2025-06-27,4,8,1390,56
2857,38,Video,6,2025-04-30,15,19,1391,127
4016,11,Social Media,0,2025-11-09,6,9,139,2
1924,17,Social Media,35,2024-08-10,16,12,1393,233
3626,33,Social Media,14,2024-11-23,2,13,1394,169
2375,7,Blog,17,2024-08-03,12,6,1394,85
183,50,Blog,5,2025-01-25,4,16,1395,87
1944,41,Video,2,2024-12-07,9,1,1396,54
4616,21,Newsletter,6,2025-06-01,14,16,1396,89
4146,19,Newsletter,30,2023-12-02,15,4,1397,200
4471,37,Newsletter,0,2025-10-14,9,2,140,1
642,45,Newsletter,1,2025-01-25,1,17,140,12
869,40,Social Media,2,2025-02-07,11,15,140,19
2684,37,Video,116,2023-07-10,6,5,1402,382
2809,25,Newsletter,10,2025-03-10,17,12,1403,187
1404,28,Blog,7,2025-01-03,19,20,1403,91
3023,12,Video,21,2024-12-10,8,5,1404,165
700,1,Video,62,2023-06-02,11,6,1404,287
3803,3,Video,113,2023-03-29,3,11,1404,330
4095,46,Newsletter,23,2024-06-23,2,2,1404,347
2763,3,Blog,9,2025-03-08,15,1,1404,69
3138,29,Newsletter,3,2025-04-11,19,17,1404,89
816,29,Newsletter,7,2025-06-28,12,19,1405,87
3371,38,Social Media,8,2024-12-05,4,5,1406,140
2670,18,Social Media,38,2024-01-02,6,11,1407,188
489,21,Video,2,2025-03-31,20,9,1407,66
110,12,Social Media,75,2024-06-09,3,4,1408,307
4457,15,Newsletter,21,2024-04-13,12,5,1408,361
490,21,Social Media,9,2024-11-19,19,9,1409,103
771,48,Blog,233,2023-07-17,3,12,1409,572
3343,28,Blog,27,2024-08-18,10,11,1410,159
831,41,Blog,0,2025-08-28,11,4,141,1
2283,38,Newsletter,2,2025-05-12,3,18,1411,33
3796,13,Video,4,2024-03-13,13,20,141,30
2495,27,Blog,0,2025-09-16,8,7,141,4
761,14,Video,91,2023-03-25,1,11,1414,510
4452,36,Blog,6,2025-07-21,5,10,1414,89
901,6,Blog,0,2025-09-25,12,4,141,5
4593,22,Video,27,2024-08-03,10,10,1415,159
3892,36,Newsletter,4,2025-05-21,15,1,1415,48
33,44,Blog,3,2025-06-21,1,7,1415,76
2501,48,Newsletter,12,2025-02-10,5,1,1417,111
1217,39,Newsletter,61,2024-07-11,3,16,1420,324
1120,34,Blog,11,2025-05-07,15,5,1421,139
4012,46,Video,23,2024-05-18,13,7,1422,169
2906,45,Video,47,2023-11-03,3,4,1422,268
2713,9,Video,60,2023-08-22,15,7,1423,267
1418,26,Video,19,2024-06-27,17,1,1424,302
2401,46,Newsletter,139,2023-06-11,2,14,1425,549
777,3,Social Media,6,2025-06-07,4,10,1425,78
2777,23,Social Media,22,2025-01-04,11,10,1426,150
238,42,Blog,14,2023-11-19,9,15,1426,167
2884,33,Social Media,2,2025-06-26,9,10,1426,38
3488,43,Newsletter,13,2024-09-14,17,10,1431,172
930,36,Blog,12,2024-08-19,19,7,1431,274
1345,12,Blog,7,2025-06-08,6,5,1432,119
394,19,Video,41,2023-05-23,8,17,1434,320
3269,15,Blog,23,2024-12-12,14,5,1435,230
564,45,Newsletter,12,2025-04-01,20,18,1436,117
2710,8,Video,26,2025-01-22,15,16,1436,206
1569,44,Newsletter,0,2025-08-03,5,3,143,7
4383,20,Video,88,2023-04-17,17,19,1437,476
1871,28,Video,17,2024-07-18,13,15,1438,101
906,15,Video,32,2023-11-03,12,19,1438,114
2360,40,Newsletter,10,2025-05-13,10,10,1441,120
987,5,Blog,4,2025-06-21,4,19,1441,97
